index,word,x_value,y_value
0,fawn,3.82919636899,-0.728279654765
1,raining,-3.05682088076,-1.78541626975
2,writings,2.02518103313,-3.27121016518
3,hordes,2.35752877088,-3.77053660397
4,mustachio,-1.11218675584,-4.62908858057
5,both,3.29863418941,-0.0360468122248
6,yellow,-2.80139605413,-3.0697750785
7,four,-0.472586292209,4.1191721112
8,gag,5.7506319674,0.816224890965
9,woods,-2.18082726919,0.534930870922
10,clotted,1.57866617304,-1.92717400617
11,spiders,2.83459635364,-4.01985630291
12,hanging,-3.43816511205,-1.87326492105
13,ringlets,-2.03503653261,-5.6394952931
14,vassals,5.53047535674,-2.14884036136
15,marching,1.72586130754,2.6227040094
16,sevens,-0.0860625226778,1.04405466102
17,lewyn,1.7438899467,1.94197037137
18,granting,4.73568653657,-1.29148176006
19,untie,1.62285168433,-0.388456512388
20,snowing,2.45793774969,-0.526374401452
21,dragonbone,-0.108147373806,-6.16665478374
22,scold,3.51822968544,-0.653176641241
23,unanswered,1.70620292404,-2.11601886283
24,sunlit,-0.477078947343,-4.60586173523
25,fingernails,-1.64137520062,-5.62470001629
26,clanked,-0.639859186511,-2.81736228436
27,crossbar,-0.806671894285,-1.37127842885
28,sputter,-0.505504200369,-1.13114411752
29,lewys,1.7776511168,-0.354658035912
30,meadows,1.73980416667,-4.83584474146
31,shaving,2.96268330722,-0.933353503434
32,sinking,-3.97996754203,-4.21653703729
33,kennels,0.127308436586,-0.932399530696
34,wracked,0.0346825241847,-1.55342588758
35,scowling,-1.24456049677,-0.0488112481853
36,bile,-2.56646631542,-0.735404027197
37,powders,2.30273321196,-3.02047050921
38,delp,2.80394919937,-1.22669830127
39,rearguard,2.9578582291,-3.0556231075
40,figs,-2.8348654583,-6.44309559974
41,jhogos,-2.2333640446,-2.307837993
42,stabbed,-3.69915292429,-0.0932899039388
43,bringing,1.44452478595,4.20040546722
44,worshiper,4.06967175219,-1.85374141227
45,wooded,-4.75541942557,-4.31032926295
46,prize,6.17983670234,0.302566854716
47,longhandled,-1.1866180344,-3.26380236329
48,wooden,-4.95913403342,-3.15620024318
49,piling,-1.55576030549,-4.08845477699
50,persisted,1.23749843849,0.524577033586
51,crotch,-0.766241478986,-1.93780676419
52,pisspot,4.24581181327,-0.953122326359
53,festered,-1.12660964952,-2.17601511605
54,commented,3.26415250404,0.783843740294
55,nightlands,2.70088704515,-1.53565460986
56,guardsmen,-0.735407550435,2.10582417884
57,haggons,0.107067018808,-2.19619788666
58,cloves,-2.89977370176,-6.4164656369
59,puissant,5.38095158783,-1.79479875186
60,sooty,-1.28602534449,-4.73453976854
61,nigh,1.76726493514,0.694789641175
62,tired,0.977493848392,3.79986325922
63,lefford,2.34606072146,1.12312258214
64,ornate,-2.6505306541,-2.65402951991
65,scrapes,0.452457436486,-2.58902628856
66,pulse,-2.18417493822,-2.12017833308
67,rampart,-1.33806039717,-4.73602664939
68,rusty,-0.618397397452,-5.6915954859
69,crisply,2.89538316176,-0.759283440422
70,valiant,3.76552275803,2.74770702961
71,sailed,0.504637852253,2.06237605697
72,scraped,-4.28327324808,-0.918884445299
73,loathing,-0.509679006578,0.200716701349
74,haughtily,2.55531448152,-0.647074686511
75,milled,0.284303042288,-3.95038232165
76,yunkaii,3.0565457505,4.17981898823
77,captain,0.982115489864,2.91393021596
78,dangled,-2.79239679648,-4.69103571192
79,widen,0.0992005427254,-1.9034616722
80,thunder,-4.68591891472,-2.26814915771
81,cooking,0.58071085469,-4.58658202728
82,fingers,-4.16249672886,0.0332550347573
83,notches,-1.35432142259,-2.41994572896
84,pawed,-1.16883271298,-4.32120009858
85,vaulting,-0.222612647258,-1.81808826294
86,admiral,5.9057425689,-1.30515638383
87,misjudged,2.65007733592,-0.238559627739
88,hero,3.94841061427,-0.0920698080423
89,avert,4.22789989895,-0.603845658716
90,chins,-3.45514925358,-1.85453810821
91,herb,2.13811772874,-0.715842968875
92,error,3.38956227924,-1.69180178725
93,unseemly,5.78335092308,0.134024064414
94,fissured,-1.271721448,-4.89066059608
95,reported,1.47846301405,1.09904757692
96,sagely,2.26905764812,-0.193626476155
97,fissures,-1.0716974218,-4.07209036565
98,shriek,-2.88152428805,-0.38141666804
99,splinted,-0.14215165939,-1.95598324503
100,chink,-0.442008879143,-3.56679347059
101,truces,3.36160915805,-2.60172245087
102,darkness,-4.49472273137,-3.12495849585
103,strewn,-4.93782640501,-4.09993346227
104,yronwoods,1.85295421394,0.8254520189
105,flatlands,2.43094170543,-2.38671418077
106,elaborate,0.0339462766343,-6.1424972144
107,climbed,-4.74241295071,0.183197440288
108,reports,4.02291517874,0.959642865395
109,kennos,0.919318669815,0.949031749083
110,transfixed,-0.240800731104,-2.33835955318
111,waycastle,0.390158586047,-4.71198049717
112,climber,0.807197068419,-1.28139978191
113,slynts,-0.833137826903,-5.00348444313
114,golden,-2.68014607034,-2.12015642342
115,cobblers,0.561659656238,-4.33457017029
116,dryn,1.75948075571,-0.485171636955
117,divide,2.27195230364,-2.66575953802
118,constipated,0.0446113568086,-3.39572800022
119,wynch,2.84912346935,-3.02251979377
120,explained,3.21986344283,2.37227562854
121,lengthen,-0.0651836812231,-3.29972896335
122,summons,5.52069905955,0.484065414787
123,brought,0.927871538955,3.64668759191
124,stern,-0.941088378252,-5.80409711831
125,quentyn,-0.499391183444,2.45265935964
126,cheating,1.34260483339,-1.66478865115
127,spoke,0.134239459923,1.51277506821
128,glimmering,-4.80473111854,-3.74006181013
129,cannibal,1.66287963733,-3.37391840197
130,backing,-1.16413662607,-1.49997059365
131,kettles,-1.65013836225,-6.43621367343
132,music,-4.84857083606,-1.86893418871
133,unfortunately,1.18755893857,0.0883660461462
134,strike,3.47896726491,4.05244755114
135,heralded,-0.900068700976,-3.37173506935
136,plodded,-2.26958660118,-4.50092969674
137,until,-1.5585570333,3.22199584763
138,whorls,0.276696793259,-5.75270541211
139,holy,6.06095911507,1.32275932546
140,successful,3.18511107113,-1.45454816655
141,margaerys,0.415322584659,1.80487069346
142,huntress,-0.247526090887,-2.15989437815
143,gashes,-1.51105553729,-3.96567715427
144,whirling,-4.24050715113,-1.04391909576
145,hurt,1.92990484343,4.12529251766
146,glass,-3.37831426299,-5.30170937442
147,remembered,0.265964450798,3.59537065319
148,tying,-0.501354114164,-3.79738379344
149,lord,0.721066682107,2.61643824838
150,hole,-3.45929162116,-3.04181225565
151,encountered,2.45231634033,0.169234546333
152,gashed,-0.695301450269,-4.40518274192
153,circumstances,4.56260561444,-0.935302008356
154,locked,-2.53816575157,0.728584351482
155,goldenhand,4.26919821234,-1.13292119784
156,blade,-3.82729426268,0.922070355951
157,wineskin,-2.48338399674,-1.55055272883
158,lockes,2.46565024623,-3.02179656759
